时间 消耗/获得 御魂名称 御魂等级 物品位置 主属性 用途
大号
10-03 22:00 获得 涅槃之火 0 一号位5星 攻击 御魂副本
10-03 22:00 获得 涅槃之火 0 一号位5星 攻击 御魂副本
10-03 20:27 获得 三味 0 二号位5星 防御加成 御魂副本
10-03 20:27 获得 招财猫 0 一号位6星 攻击 御魂副本
10-03 20:27 获得 狰 0 六号位5星 暴击 御魂副本
10-03 20:25 获得 狰 0 一号位5星 攻击 御魂副本
10-03 20:22 获得 三味 0 六号位5星 防御加成 御魂副本
10-03 20:21 获得 狰 0 五号位5星 生命 御魂副本
10-03 20:17 获得 招财猫 0 五号位5星 生命 御魂副本
10-03 20:16 获得 狰 0 四号位5星 效果命中 御魂副本
10-03 20:16 获得 招财猫 0 五号位5星 生命 御魂副本
10-03 20:09 获得 招财猫 0 二号位5星 生命加成 御魂副本
10-03 20:07 获得 涅槃之火 0 二号位5星 防御加成 御魂副本
10-03 20:00 获得 蝠翼 0 四号位6星 生命加成 商店兑换
10-03 19:23 获得 招财猫 0 六号位5星 防御加成 鬼王奖励
10-03 19:23 获得 镜姬 0 二号位6星 攻击加成 鬼王奖励
10-03 18:09 获得 涅槃之火 0 六号位5星 攻击加成 御魂副本
10-03 18:09 获得 三味 0 四号位5星 防御加成 御魂副本
10-03 18:09 获得 招财猫 0 五号位5星 生命 御魂副本
10-03 18:01 获得 狰 0 四号位5星 生命加成 御魂副本
10-03 18:01 获得 狰 0 三号位5星 防御 御魂副本
10-03 16:02 获得 涅槃之火 0 五号位6星 生命 御魂副本
10-03 16:00 获得 招财猫 0 一号位5星 攻击 御魂副本
10-03 16:00 获得 涅槃之火 0 五号位5星 生命 御魂副本
10-03 16:00 获得 涅槃之火 0 二号位6星 防御加成 御魂副本
10-03 15:57 获得 三味 0 四号位5星 防御加成 御魂副本
10-03 15:57 获得 涅槃之火 0 三号位5星 防御 御魂副本
10-03 15:57 获得 招财猫 0 二号位5星 攻击加成 御魂副本
10-03 15:56 获得 三味 0 三号位5星 防御 御魂副本
10-03 15:55 获得 招财猫 0 二号位5星 生命加成 御魂副本
10-03 15:55 获得 涅槃之火 0 三号位6星 防御 御魂副本
10-03 15:53 获得 招财猫 0 三号位5星 防御 御魂副本
10-03 15:49 获得 涅槃之火 0 一号位5星 攻击 御魂副本
10-03 15:48 获得 涅槃之火 0 六号位5星 防御加成 御魂副本
10-03 15:48 获得 招财猫 0 五号位5星 生命 御魂副本
10-03 15:47 获得 狰 0 二号位5星 防御加成 御魂副本
10-03 15:46 获得 三味 0 二号位5星 攻击加成 御魂副本
10-03 15:46 获得 招财猫 0 二号位5星 防御加成 御魂副本
10-03 15:44 获得 狰 0 五号位6星 生命 御魂副本
10-03 15:43 获得 三味 0 四号位5星 攻击加成 御魂副本
10-03 15:43 获得 狰 0 六号位5星 生命加成 御魂副本
10-03 15:42 获得 涅槃之火 0 一号位5星 攻击 御魂副本
10-03 15:39 获得 狰 0 三号位5星 防御 御魂副本
10-03 15:38 获得 狰 0 五号位5星 生命 御魂副本
10-03 15:33 获得 涅槃之火 0 二号位5星 生命加成 御魂副本
10-03 15:32 获得 三味 0 二号位5星 速度 御魂副本
10-03 15:25 获得 招财猫 0 一号位5星 攻击 御魂副本
10-03 15:25 获得 招财猫 0 三号位5星 防御 御魂副本
10-03 15:23 获得 招财猫 0 四号位5星 生命加成 御魂副本
10-03 15:23 获得 涅槃之火 0 五号位5星 生命 御魂副本
10-03 15:22 获得 三味 0 一号位5星 攻击 御魂副本
10-03 15:21 获得 涅槃之火 0 五号位5星 生命 御魂副本
10-03 15:18 获得 三味 0 四号位5星 攻击加成 御魂副本
10-03 15:09 获得 三味 0 二号位6星 防御加成 御魂副本
10-03 15:09 获得 三味 0 一号位5星 攻击 御魂副本
10-03 15:04 获得 招财猫 0 四号位5星 攻击加成 御魂副本
10-03 14:58 获得 招财猫 0 二号位5星 生命加成 御魂副本
10-03 14:57 获得 涅槃之火 0 四号位5星 攻击加成 御魂副本
10-03 14:56 获得 涅槃之火 0 一号位6星 攻击 御魂副本
10-03 14:52 获得 涅槃之火 0 一号位5星 攻击 御魂副本
10-03 14:50 获得 招财猫 0 四号位5星 防御加成 御魂副本
10-03 14:50 获得 三味 0 四号位5星 生命加成 御魂副本
10-03 14:49 获得 招财猫 0 五号位5星 生命 御魂副本
10-03 14:41 获得 招财猫 0 四号位5星 攻击加成 御魂副本
10-03 14:13 获得 狰 0 一号位5星 攻击 御魂副本
10-03 14:12 获得 狰 0 一号位5星 攻击 御魂副本
10-03 14:11 获得 三味 0 一号位5星 攻击 御魂副本
10-03 14:11 获得 三味 0 六号位5星 防御加成 御魂副本
10-03 14:09 获得 三味 0 四号位5星 生命加成 御魂副本
10-03 14:08 获得 狰 0 六号位6星 攻击加成 御魂副本
10-03 14:08 获得 招财猫 0 三号位5星 防御 御魂副本
10-03 14:04 获得 涅槃之火 0 一号位5星 攻击 御魂副本
10-03 14:03 获得 涅槃之火 0 二号位5星 防御加成 御魂副本
10-03 13:59 获得 狰 0 三号位5星 防御 御魂副本
10-03 13:59 获得 招财猫 0 四号位5星 攻击加成 御魂副本
10-03 13:55 获得 狰 0 三号位5星 防御 御魂副本
10-03 13:55 获得 涅槃之火 0 四号位5星 攻击加成 御魂副本
10-03 13:52 获得 涅槃之火 0 六号位5星 生命加成 御魂副本
10-03 13:52 获得 狰 0 六号位5星 攻击加成 御魂副本
10-03 13:51 获得 三味 0 五号位5星 生命 御魂副本
10-03 11:27 消耗 网切 0 一号位5星 攻击 御魂强化
10-03 11:27 消耗 雪幽魂 0 二号位5星 攻击加成 御魂强化
10-03 11:27 消耗 网切 0 一号位5星 攻击 御魂强化
10-03 11:27 消耗 网切 0 一号位5星 攻击 御魂强化
10-03 11:27 消耗 日女巳时 0 二号位5星 速度 御魂强化
10-03 11:24 消耗 地藏像 0 六号位5星 攻击加成 御魂强化
10-03 11:24 消耗 地藏像 0 六号位5星 攻击加成 御魂强化
10-03 11:24 消耗 地藏像 0 六号位5星 生命加成 御魂强化
10-03 11:24 消耗 鸣屋 0 一号位5星 攻击 御魂强化
10-03 11:24 消耗 地藏像 0 六号位5星 生命加成 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 五号位5星 生命 御魂强化
10-03 11:24 消耗 地藏像 0 四号位5星 生命加成 御魂强化
10-03 11:24 消耗 地藏像 0 四号位5星 防御加成 御魂强化
10-03 11:24 消耗 地藏像 0 三号位5星 防御 御魂强化
10-03 11:24 消耗 地藏像 0 二号位5星 防御加成 御魂强化
10-03 11:24 消耗 地藏像 0 一号位5星 攻击 御魂强化
10-03 11:19 获得 网切 0 三号位6星 防御 
10-03 11:18 获得 涅槃之火 0 二号位6星 攻击加成 商店兑换
10-03 11:15 获得 地藏像 0 二号位5星 防御加成 
10-03 11:15 获得 心眼 0 五号位5星 生命 
10-03 11:15 获得 涅槃之火 0 六号位5星 攻击加成 
10-03 11:15 获得 涅槃之火 0 三号位5星 防御 
10-03 02:37 获得 破势 0 二号位5星 攻击加成 石距获得
10-03 02:37 获得 钟灵 0 四号位6星 生命加成 石距获得
10-03 02:37 获得 蝠翼 0 四号位5星 生命加成 石距获得
10-03 02:37 获得 地藏像 0 六号位5星 攻击加成 石距获得
10-03 02:18 获得 日女巳时 0 五号位6星 生命
