时间 消耗/获得 物品名称 数量 物品位置 主属性 用途
大号
07-02 14:51 获得 招财猫 1 五号位5星 生命 业原火副本获得
07-02 14:51 获得 薙魂 1 二号位6星 防御加成 业原火副本获得
07-02 14:51 获得 返魂香 1 三号位6星 防御 业原火副本获得
07-02 14:51 获得 木魅 1 五号位6星 生命 业原火副本获得
07-02 13:57 获得 阴摩罗 1 一号位5星 攻击 业原火副本获得
07-02 13:57 获得 返魂香 1 二号位6星 生命加成 业原火副本获得
07-02 13:54 获得 薙魂 1 一号位5星 攻击 业原火副本获得
07-02 13:54 获得 返魂香 1 三号位5星 防御 业原火副本获得
07-02 13:54 获得 薙魂 1 五号位6星 生命 业原火副本获得
07-02 02:17 获得 珍珠 1 六号位6星 攻击加成 神秘商店购买
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 魅妖 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 针女 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 返魂香 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 蚌精 1 一号位5星 攻击 奉纳消耗
07-02 02:17 消耗 钟灵 1 二号位5星 防御加成 奉纳消耗
07-02 02:17 消耗 破势 1 二号位5星 生命加成 奉纳消耗
07-02 02:17 消耗 破势 1 二号位5星 生命加成 奉纳消耗
07-02 02:17 消耗 心眼 1 二号位5星 攻击加成 奉纳消耗
07-02 02:17 消耗 蚌精 1 二号位5星 生命加成 奉纳消耗
07-02 02:17 消耗 针女 1 二号位5星 防御加成 奉纳消耗
07-02 02:17 消耗 心眼 1 二号位5星 生命加成 奉纳消耗
07-02 02:17 消耗 日女巳时 1 二号位5星 速度 奉纳消耗
07-02 02:17 消耗 蚌精 1 二号位5星 防御加成 奉纳消耗
07-02 02:17 消耗 破势 1 二号位5星 攻击加成 奉纳消耗
07-02 02:17 消耗 针女 1 二号位5星 生命加成 奉纳消耗
